heroine 2.23 2.34 1.70 2.23 2.34 1.70
heterosexual 1.62 1.23 0.71 1.62 1.23 0.71
Hispanic-American 1.37 0.31 0.65 1.37 0.31 0.65
hombre 0.84 0.78 0.54 0.84 0.78 0.54
homemaker 1.32 0.31 0.00 1.32 0.31 0.00
homosexual 0.51 -0.10 0.68 0.51 -0.10 0.68
honeymooner 2.33 1.03 1.66 2.33 1.03 1.66
hoodlum -2.03 -0.48 0.83 -2.03 -0.48 0.83
hooker -1.93 -1.23 1.07 -1.93 -1.23 1.07
host 2.10 1.50 1.36 2.10 1.50 1.36
hostess 1.60 0.90 1.32 1.60 0.90 1.32
hothead -1.74 0.05 1.98 -1.74 0.05 1.98
hotshot -0.78 0.41 1.79 -0.78 0.41 1.79
house_husband 0.97 0.04 0.08 0.97 0.04 0.08
houseguest 1.63 0.11 0.61 1.63 0.11 0.61
housewife 1.43 0.40 0.37 1.43 0.40 0.37
hunk 1.39 1.31 0.95 1.39 1.31 0.95
husband 2.27 1.60 1.15 2.27 1.60 1.15
hussy -1.27 -0.37 0.56 -1.27 -0.37 0.56
idiot -1.48 -1.47 -0.57 -1.48 -1.47 -0.57
ignoramus -1.27 -1.29 -0.82 -1.27 -1.29 -0.82
illegitimate_child -0.74 -0.64 0.16 -0.74 -0.64 0.16
infant 2.45 -1.60 0.99 2.45 -1.60 0.99
informer 0.59 1.03 -0.03 0.59 1.03 -0.03
innocent 2.07 -0.08 -0.73 2.07 -0.08 -0.73
insider 0.06 1.25 0.04 0.06 1.25 0.04
instructor 1.80 1.51 1.07 1.80 1.51 1.07
intern 1.60 -0.65 0.43 1.60 -0.65 0.43
interviewee 0.89 -0.43 -0.05 0.89 -0.43 -0.05
interviewer 0.72 1.66 0.67 0.72 1.66 0.67
intimate 1.86 1.61 0.62 1.86 1.61 0.62
introvert 0.23 -1.29 -1.61 0.23 -1.29 -1.61
invalid -1.12 -1.51 -1.45 -1.12 -1.51 -1.45
jerk -2.46 -0.35 1.25 -2.46 -0.35 1.25
Jew 1.33 0.65 0.42 1.33 0.65 0.42
jock 0.47 1.08 1.62 0.47 1.08 1.62
judge 1.00 2.23 -0.28 1.00 2.23 -0.28
juror 0.81 1.88 -0.18 0.81 1.88 -0.18
kid 1.76 -0.40 2.20 1.76 -0.40 2.20
klutz -0.58 -1.18 0.61 -0.58 -1.18 0.61
know-it-all -1.23 0.04 1.34 -1.23 0.04 1.34
laborer 1.15 0.37 0.41 1.15 0.37 0.41
lackey -0.58 -1.16 -0.35 -0.58 -1.16 -0.35
lady-killer -2.45 0.94 0.54 -2.45 0.94 0.54
lady 2.56 1.24 0.84 2.56 1.24 0.84
lawyer 0.75 1.51 1.29 0.75 1.51 1.29
leader 2.07 2.72 2.21 2.07 2.72 2.21
lecher -1.10 -0.27 -0.12 -1.10 -0.27 -0.12
lecturer 0.59 1.08 0.01 0.59 1.08 0.01
lesbian 0.15 0.11 0.66 0.15 0.11 0.66
liar -2.56 -0.67 0.31 -2.56 -0.67 0.31
liberal 1.06 0.67 0.74 1.06 0.67 0.74
librarian 1.36 -0.49 -1.77 1.36 -0.49 -1.77
little_brother 1.57 -0.42 1.88 1.57 -0.42 1.88
